Date,Form,Opposition,Season,Venue,Previous_Match,UEFA,Outcome
17/10/2015,Poor,Tough,Early,Away,0,Active,No_win
25/10/2015,Poor,Medium,Early,Home,0,Active,No_win
31/10/2015,Poor,Medium,Early,Away,0,Active,Win
8/11/2015,Poor,Medium,Middle,Home,1,Active,No_win
21/11/2015,Poor,Tough,Middle,Away,0,Active,Win
29/11/2015,Poor,Easy,Middle,Home,1,Active,Win
6/12/2015,Decent,Easy,Middle,Away,1,Active,No_win
13/12/2015,Decent,Easy,Middle,Home,0,Active,No_win
20/12/2015,Poor,Medium,Middle,Away,0,Active,No_win
26/12/2015,Poor,Tough,Middle,Home,0,Active,Win
30/12/2015,Poor,Easy,Middle,Away,1,Active,Win
2/1/2016,Poor,Tough,Middle,Away,1,Active,No_win
13/1/2016,Poor,Tough,Middle,Home,0,Active,No_win
17/1/2016,Poor,Tough,Middle,Home,0,Active,No_win
23/1/2016,Poor,Easy,Middle,Home,0,Active,Win
2/2/2016,Poor,Tough,Middle,Away,1,Active,No_win
6/2/2016,Poor,Easy,Middle,Home,0,Active,No_win
14/2/2016,Poor,Easy,Middle,Away,0,Active,Win
2/3/2016,Poor,Tough,Middle,Home,1,Active,Win
6/3/2016,Decent,Easy,Middle,Away,1,Active,Win
20/3/2016,Decent,Medium,Middle,Away,1,Active,No_win
2/4/2016,Decent,Tough,Middle,Home,0,Active,No_win
10/4/2016,Decent,Medium,Late,Home,0,Active,Win
17/4/2016,Decent,Easy,Late,Away,1,Active,Win
20/4/2016,Decent,Medium,Late,Home,1,Active,Win
23/4/2016,Decent,Easy,Late,Home,1,Active,No_win
1/5/2016,Decent,Easy,Late,Away,0,Active,No_win
8/5/2016,Decent,Medium,Late,Home,0,Active,Win
11/5/2016,Poor,Tough,Late,Home,1,Active,No_win
15/05/2016,Poor,Easy,Late,Away,0,Active,No_win
14/8/2016,Top,Tough,Early,Away,1,Inactive,Win
20/8/2016,Top,Easy,Early,Away,1,Inactive,No_win
27/8/2016,Decent,Tough,Early,Away,0,Inactive,No_win
10/9/2016,Poor,Easy,Early,Home,0,Inactive,Win
16/9/2016,Poor,Tough,Early,Away,1,Inactive,Win
24/9/2016,Decent,Easy,Early,Home,1,Inactive,Win
1/10/2016,Decent,Easy,Early,Away,1,Inactive,Win
17/10/2016,Top,Tough,Early,Home,1,Inactive,No_win
22/10/2016,Top,Easy,Early,Home,0,Inactive,Win
29/10/2016,Top,Easy,Early,Away,1,Inactive,Win
6/11/2016,Top,Medium,Early,Home,1,Inactive,Win
19/11/2016,Top,Medium,Middle,Away,1,Inactive,No_win
26/11/2016,Decent,Easy,Middle,Home,0,Inactive,Win
4/12/2016,Top,Medium,Middle,Away,1,Inactive,No_win
11/12/2016,Decent,Easy,Middle,Home,0,Inactive,No_win
14/12/2016,Poor,Easy,Middle,Away,0,Inactive,Win
19/12/2016,Poor,Medium,Middle,Away,1,Inactive,Win
27/12/2016,Decent,Easy,Middle,Home,1,Inactive,Win
31/12/2016,Decent,Tough,Middle,Home,1,Inactive,Win
2/1/2017,Top,Easy,Middle,Away,1,Inactive,No_win
15/1/2017,Top,Tough,Middle,Away,0,Inactive,No_win
21/1/2017,Decent,Easy,Middle,Home,0,Inactive,No_win
31/1/2017,Poor,Tough,Middle,Home,0,Inactive,No_win
4/2/2017,Poor,Easy,Middle,Away,0,Inactive,No_win
11/2/2017,Poor,Tough,Middle,Home,0,Inactive,Win
27/2/2017,Poor,Easy,Middle,Away,1,Inactive,No_win
4/3/2017,Poor,Tough,Middle,Home,0,Inactive,Win
12/3/2017,Poor,Medium,Middle,Home,1,Inactive,Win
19/3/2017,Decent,Tough,Middle,Away,1,Inactive,No_win
1/4/2017,Decent,Medium,Middle,Home,0,Inactive,Win
5/4/2017,Decent,Easy,Late,Home,1,Inactive,No_win
8/4/2017,Decent,Medium,Late,Away,0,Inactive,Win
16/4/2017,Decent,Medium,Late,Away,1,Inactive,Win
23/4/2017,Decent,Easy,Late,Home,1,Inactive,No_win
1/5/2017,Decent,Medium,Late,Away,0,Inactive,Win
7/5/2017,Decent,Medium,Late,Home,1,Inactive,No_win
14/5/2017,Decent,Medium,Late,Away,0,Inactive,Win
21/5/2017,Decent,Easy,Late,Home,1,Inactive,Win
12/8/2017,Top,Medium,Early,Away,1,Active,No_win
19/8/2017,Decent,Easy,Early,Home,0,Active,Win
27/8/2017,Decent,Medium,Early,Home,1,Active,Win
9/9/2017,Decent,Tough,Early,Away,1,Active,No_win
16/9/2017,Decent,Medium,Early,Home,0,Active,No_win
23/9/2017,Poor,Easy,Early,Away,0,Active,Win
1/10/2017,Decent,Medium,Early,Away,1,Active,No_win
14/10/2017,Poor,Tough,Early,Home,0,Active,No_win
22/10/2017,Poor,Tough,Early,Away,0,Active,No_win
28/10/2017,Poor,Medium,Early,Home,0,Active,Win
4/11/2017,Poor,Easy,Early,Away,1,Active,Win
